행정구역	2022년11월_총인구수	2022년11월_세대수	2022년11월_세대당 인구	2022년11월_남자 인구수	2022년11월_여자 인구수	2022년11월_남여 비율
서울특별시  (1100000000)	9,436,836	4,448,660	2.12	4,574,781	4,862,055	0.94
서울특별시 종로구 (1111000000)	141,650	72,666	1.95	68,488	73,162	0.94
서울특별시 종로구 청운효자동(1111051500)	11,677	5,148	2.27	5,366	6,311	0.85
서울특별시 종로구 사직동(1111053000)	9,106	4,590	1.98	4,041	5,065	0.8
서울특별시 종로구 삼청동(1111054000)	2,338	1,153	2.03	1,114	1,224	0.91
서울특별시 종로구 부암동(1111055000)	9,278	4,164	2.23	4,403	4,875	0.9
서울특별시 종로구 평창동(1111056000)	17,662	7,274	2.43	8,234	9,428	0.87
서울특별시 종로구 무악동(1111057000)	8,035	3,020	2.66	3,714	4,321	0.86
서울특별시 종로구 교남동(1111058000)	9,844	4,387	2.24	4,536	5,308	0.85
서울특별시 종로구 가회동(1111060000)	3,952	1,934	2.04	1,825	2,127	0.86
서울특별시 종로구 종로1.2.3.4가동(1111061500)	6,747	4,933	1.37	4,091	2,656	1.54
서울특별시 종로구 종로5.6가동(1111063000)	5,282	3,512	1.5	2,793	2,489	1.12
서울특별시 종로구 이화동(1111064000)	7,108	4,299	1.65	3,361	3,747	0.9
서울특별시 종로구 혜화동(1111065000)	16,181	9,226	1.75	7,776	8,405	0.93
서울특별시 종로구 창신제1동(1111067000)	4,660	2,719	1.71	2,474	2,186	1.13
서울특별시 종로구 창신제2동(1111068000)	7,717	3,999	1.93	3,968	3,749	1.06
서울특별시 종로구 창신제3동(1111069000)	6,457	2,775	2.33	3,174	3,283	0.97
서울특별시 종로구 숭인제1동(1111070000)	5,774	2,972	1.94	2,780	2,994	0.93
서울특별시 종로구 숭인제2동(1111071000)	9,832	6,561	1.5	4,838	4,994	0.97
서울특별시 중구 (1114000000)	120,545	63,167	1.91	58,610	61,935	0.95
서울특별시 중구 소공동(1114052000)	2,245	1,292	1.74	1,087	1,158	0.94
서울특별시 중구 회현동(1114054000)	4,520	2,546	1.78	2,335	2,185	1.07
서울특별시 중구 명동(1114055000)	2,774	1,481	1.87	1,209	1,565	0.77
서울특별시 중구 필동(1114057000)	3,988	2,458	1.62	2,077	1,911	1.09
서울특별시 중구 장충동(1114058000)	4,601	2,855	1.61	2,425	2,176	1.11
서울특별시 중구 광희동(1114059000)	5,216	3,414	1.53	2,627	2,589	1.01
서울특별시 중구 을지로동(1114060500)	1,644	1,284	1.28	1,007	637	1.58
서울특별시 중구 신당동(1114061500)	7,608	4,797	1.59	3,738	3,870	0.97
서울특별시 중구 다산동(1114062500)	13,471	6,814	1.98	6,516	6,955	0.94
서울특별시 중구 약수동(1114063500)	16,419	7,780	2.11	7,606	8,813	0.86
서울특별시 중구 청구동(1114064500)	13,222	6,211	2.13	6,274	6,948	0.9
서울특별시 중구 신당제5동(1114065000)	10,181	5,331	1.91	4,935	5,246	0.94
서울특별시 중구 동화동(1114066500)	10,044	3,994	2.51	4,822	5,222	0.92
서울특별시 중구 황학동(1114067000)	12,589	7,181	1.75	5,975	6,614	0.9
서울특별시 중구 중림동(1114068000)	12,023	5,729	2.1	5,977	6,046	0.99
서울특별시 용산구 (1117000000)	218,945	109,905	1.99	105,222	113,723	0.93
서울특별시 용산구 후암동(1117051000)	16,336	8,286	1.97	7,951	8,385	0.95
서울특별시 용산구 용산2가동(1117052000)	9,075	5,079	1.79	4,390	4,685	0.94
서울특별시 용산구 남영동(1117053000)	7,113	5,021	1.42	4,318	2,795	1.54
서울특별시 용산구 청파동(1117055500)	19,087	11,084	1.72	8,896	10,191	0.87
서울특별시 용산구 원효로제1동(1117056000)	17,116	9,187	1.86	7,972	9,144	0.87
서울특별시 용산구 원효로제2동(1117057000)	13,702	6,094	2.25	6,470	7,232	0.89
서울특별시 용산구 효창동(1117058000)	10,738	4,695	2.29	5,111	5,627	0.91
서울특별시 용산구 용문동(1117059000)	11,558	5,327	2.17	5,545	6,013	0.92
서울특별시 용산구 한강로동(1117062500)	21,266	11,403	1.86	10,098	11,168	0.9
서울특별시 용산구 이촌제1동(1117063000)	25,069	9,160	2.74	11,779	13,290	0.89
서울특별시 용산구 이촌제2동(1117064000)	8,040	3,598	2.23	3,756	4,284	0.88
서울특별시 용산구 이태원제1동(1117065000)	6,123	3,471	1.76	3,025	3,098	0.98
서울특별시 용산구 이태원제2동(1117066000)	8,750	4,846	1.81	4,040	4,710	0.86
서울특별시 용산구 한남동(1117068500)	19,528	10,403	1.88	9,415	10,113	0.93
서울특별시 용산구 서빙고동(1117069000)	12,656	5,153	2.46	6,077	6,579	0.92
서울특별시 용산구 보광동(1117070000)	12,788	7,098	1.8	6,379	6,409	1
서울특별시 성동구 (1120000000)	281,370	133,435	2.11	136,901	144,469	0.95
서울특별시 성동구 왕십리제2동(1120052000)	16,301	7,400	2.2	7,861	8,440	0.93
서울특별시 성동구 왕십리도선동(1120053500)	26,479	12,093	2.19	12,479	14,000	0.89
서울특별시 성동구 마장동(1120054000)	22,068	10,921	2.02	10,882	11,186	0.97
서울특별시 성동구 사근동(1120055000)	12,031	8,183	1.47	6,301	5,730	1.1
서울특별시 성동구 행당제1동(1120056000)	13,731	6,467	2.12	6,607	7,124	0.93
서울특별시 성동구 행당제2동(1120057000)	23,054	9,254	2.49	10,753	12,301	0.87
서울특별시 성동구 응봉동(1120058000)	15,054	5,934	2.54	7,175	7,879	0.91
서울특별시 성동구 금호1가동(1120059000)	15,033	6,519	2.31	7,183	7,850	0.92
서울특별시 성동구 금호2.3가동(1120061500)	22,303	9,957	2.24	10,654	11,649	0.91
서울특별시 성동구 금호4가동(1120062000)	14,078	6,285	2.24	6,668	7,410	0.9
서울특별시 성동구 옥수동(1120064500)	25,602	10,759	2.38	11,897	13,705	0.87
서울특별시 성동구 성수1가제1동(1120065000)	16,135	7,664	2.11	8,013	8,122	0.99
서울특별시 성동구 성수1가제2동(1120066000)	12,129	5,934	2.04	5,949	6,180	0.96
서울특별시 성동구 성수2가제1동(1120067000)	15,293	7,952	1.92	7,977	7,316	1.09
서울특별시 성동구 성수2가제3동(1120069000)	10,348	5,354	1.93	5,151	5,197	0.99
서울특별시 성동구 송정동(1120072000)	10,117	5,463	1.85	5,348	4,769	1.12
서울특별시 성동구 용답동(1120079000)	11,614	7,296	1.59	6,003	5,611	1.07
서울특별시 광진구 (1121500000)	337,713	169,376	1.99	162,699	175,014	0.93
서울특별시 광진구 화양동(1121571000)	23,562	18,297	1.29	11,205	12,357	0.91
서울특별시 광진구 군자동(1121573000)	19,411	11,379	1.71	9,610	9,801	0.98
서울특별시 광진구 중곡제1동(1121574000)	15,338	8,508	1.8	7,348	7,990	0.92
서울특별시 광진구 중곡제2동(1121575000)	20,997	10,634	1.97	9,905	11,092	0.89
서울특별시 광진구 중곡제3동(1121576000)	15,939	8,496	1.88	7,886	8,053	0.98
서울특별시 광진구 중곡제4동(1121577000)	28,024	13,112	2.14	13,707	14,317	0.96
서울특별시 광진구 능동(1121578000)	11,190	6,429	1.74	5,139	6,051	0.85
서울특별시 광진구 광장동(1121581000)	34,236	11,837	2.89	16,543	17,693	0.94
서울특별시 광진구 자양제1동(1121582000)	21,887	11,909	1.84	10,641	11,246	0.95
서울특별시 광진구 자양제2동(1121583000)	23,943	10,880	2.2	11,602	12,341	0.94
서울특별시 광진구 자양제3동(1121584000)	27,555	11,013	2.5	13,164	14,391	0.91
서울특별시 광진구 자양제4동(1121584700)	17,926	10,181	1.76	8,943	8,983	1
서울특별시 광진구 구의제1동(1121585000)	23,357	13,068	1.79	11,132	12,225	0.91
서울특별시 광진구 구의제2동(1121586000)	26,103	11,537	2.26	12,548	13,555	0.93
서울특별시 광진구 구의제3동(1121587000)	28,245	12,096	2.34	13,326	14,919	0.89
서울특별시 동대문구 (1123000000)	337,241	170,154	1.98	166,070	171,171	0.97
서울특별시 동대문구 용신동(1123053600)	34,618	20,252	1.71	17,254	17,364	0.99
서울특별시 동대문구 제기동(1123054500)	24,254	13,472	1.8	12,394	11,860	1.05
서울특별시 동대문구 전농제1동(1123056000)	28,673	14,744	1.94	14,300	14,373	0.99
서울특별시 동대문구 전농제2동(1123057000)	18,250	7,593	2.4	8,742	9,508	0.92
서울특별시 동대문구 답십리제1동(1123060000)	28,266	12,911	2.19	13,617	14,649	0.93
서울특별시 동대문구 답십리제2동(1123061000)	27,836	12,535	2.22	13,474	14,362	0.94
서울특별시 동대문구 장안제1동(1123065000)	38,091	18,506	2.06	18,833	19,258	0.98
서울특별시 동대문구 장안제2동(1123066000)	32,404	14,134	2.29	16,087	16,317	0.99
서울특별시 동대문구 청량리동(1123070500)	18,622	9,695	1.92	9,289	9,333	1
서울특별시 동대문구 회기동(1123071000)	10,596	6,760	1.57	5,086	5,510	0.92
서울특별시 동대문구 휘경제1동(1123072000)	13,955	7,784	1.79	6,590	7,365	0.89
서울특별시 동대문구 휘경제2동(1123073000)	23,901	12,263	1.95	11,954	11,947	1
서울특별시 동대문구 이문제1동(1123074000)	18,099	10,796	1.68	8,969	9,130	0.98
서울특별시 동대문구 이문제2동(1123075000)	19,676	8,709	2.26	9,481	10,195	0.93
서울특별시 중랑구 (1126000000)	385,638	187,418	2.06	189,747	195,891	0.97
서울특별시 중랑구 면목제2동(1126052000)	23,894	12,225	1.95	11,899	11,995	0.99
서울특별시 중랑구 면목제4동(1126054000)	18,519	8,944	2.07	9,230	9,289	0.99
서울특별시 중랑구 면목제5동(1126055000)	14,705	6,448	2.28	7,375	7,330	1.01
서울특별시 중랑구 면목본동(1126056500)	33,209	17,756	1.87	16,404	16,805	0.98
서울특별시 중랑구 면목제7동(1126057000)	21,460	10,541	2.04	10,740	10,720	1
서울특별시 중랑구 면목제3.8동(1126057500)	24,238	12,637	1.92	12,018	12,220	0.98
서울특별시 중랑구 상봉제1동(1126058000)	23,573	10,155	2.32	11,432	12,141	0.94
서울특별시 중랑구 상봉제2동(1126059000)	20,217	12,307	1.64	9,718	10,499	0.93
서울특별시 중랑구 중화제1동(1126060000)	19,185	9,007	2.13	9,432	9,753	0.97
서울특별시 중랑구 중화제2동(1126061000)	24,521	13,616	1.8	12,591	11,930	1.06
서울특별시 중랑구 묵제1동(1126062000)	34,170	15,005	2.28	16,362	17,808	0.92
서울특별시 중랑구 묵제2동(1126063000)	18,385	9,256	1.99	9,015	9,370	0.96
서울특별시 중랑구 망우본동(1126065500)	35,485	17,565	2.02	17,559	17,926	0.98
서울특별시 중랑구 망우제3동(1126066000)	15,958	8,207	1.94	8,050	7,908	1.02
서울특별시 중랑구 신내1동(1126068000)	38,046	14,783	2.57	18,388	19,658	0.94
서울특별시 중랑구 신내2동(1126069000)	20,073	8,966	2.24	9,534	10,539	0.9
서울특별시 성북구 (1129000000)	431,047	197,354	2.18	207,269	223,778	0.93
서울특별시 성북구 성북동(1129052500)	16,276	8,166	1.99	7,569	8,707	0.87
서울특별시 성북구 삼선동(1129055500)	22,456	11,482	1.96	10,658	11,798	0.9
서울특별시 성북구 동선동(1129057500)	15,150	9,628	1.57	6,305	8,845	0.71
서울특별시 성북구 돈암제1동(1129058000)	14,397	6,054	2.38	6,725	7,672	0.88
서울특별시 성북구 돈암제2동(1129059000)	23,554	8,513	2.77	11,122	12,432	0.89
서울특별시 성북구 안암동(1129060000)	15,047	9,751	1.54	7,582	7,465	1.02
서울특별시 성북구 보문동(1129061000)	16,354	8,122	2.01	7,848	8,506	0.92
서울특별시 성북구 정릉제1동(1129062000)	18,020	7,384	2.44	8,616	9,404	0.92
서울특별시 성북구 정릉제2동(1129063000)	22,713	9,892	2.3	10,982	11,731	0.94
서울특별시 성북구 정릉제3동(1129064000)	15,207	8,187	1.86	7,567	7,640	0.99
서울특별시 성북구 정릉제4동(1129065000)	24,440	10,809	2.26	11,729	12,711	0.92
서울특별시 성북구 길음제1동(1129066000)	34,862	12,436	2.8	16,511	18,351	0.9
서울특별시 성북구 길음제2동(1129068500)	21,542	8,588	2.51	10,356	11,186	0.93
서울특별시 성북구 종암동(1129070500)	38,208	17,173	2.22	18,888	19,320	0.98
서울특별시 성북구 월곡제1동(1129071500)	25,961	10,828	2.4	12,533	13,428	0.93
서울특별시 성북구 월곡제2동(1129072500)	19,238	9,689	1.99	9,241	9,997	0.92
서울특별시 성북구 장위제1동(1129076000)	23,960	10,728	2.23	11,707	12,253	0.96
서울특별시 성북구 장위제2동(1129077000)	13,443	6,659	2.02	6,602	6,841	0.97
서울특별시 성북구 장위제3동(1129078000)	15,691	6,445	2.43	7,670	8,021	0.96
서울특별시 성북구 석관동(1129081000)	34,528	16,820	2.05	17,058	17,470	0.98
서울특별시 강북구 (1130500000)	293,984	144,415	2.04	142,776	151,208	0.94
서울특별시 강북구 삼양동(1130553400)	22,941	10,957	2.09	11,432	11,509	0.99
서울특별시 강북구 미아동(1130553500)	21,168	11,611	1.82	10,170	10,998	0.92
서울특별시 강북구 송중동(1130554500)	29,329	14,008	2.09	14,117	15,212	0.93
서울특별시 강북구 송천동(1130555500)	25,609	13,351	1.92	12,670	12,939	0.98
서울특별시 강북구 삼각산동(1130557500)	30,784	11,500	2.68	14,761	16,023	0.92
서울특별시 강북구 번1동(1130559500)	18,122	10,385	1.75	9,127	8,995	1.01
서울특별시 강북구 번2동(1130560300)	15,356	7,526	2.04	7,401	7,955	0.93
서울특별시 강북구 번3동(1130560800)	16,421	7,423	2.21	7,680	8,741	0.88
서울특별시 강북구 수유1동(1130561500)	20,311	10,472	1.94	9,984	10,327	0.97
서울특별시 강북구 수유2동(1130562500)	20,896	9,837	2.12	9,943	10,953	0.91
서울특별시 강북구 수유3동(1130563500)	23,050	13,415	1.72	11,395	11,655	0.98
서울특별시 강북구 우이동(1130564500)	20,251	9,611	2.11	9,753	10,498	0.93
서울특별시 강북구 인수동(1130566000)	29,746	14,319	2.08	14,343	15,403	0.93
서울특별시 도봉구 (1132000000)	312,053	138,439	2.25	151,562	160,491	0.94
서울특별시 도봉구 창제1동(1132051100)	24,378	10,988	2.22	11,602	12,776	0.91
서울특별시 도봉구 창제2동(1132051200)	28,660	12,583	2.28	13,911	14,749	0.94
서울특별시 도봉구 창제3동(1132051300)	13,589	6,491	2.09	6,773	6,816	0.99
서울특별시 도봉구 창제4동(1132051400)	26,011	10,558	2.46	12,488	13,523	0.92
서울특별시 도봉구 창제5동(1132051500)	24,276	10,276	2.36	11,634	12,642	0.92
서울특별시 도봉구 도봉제1동(1132052100)	20,477	10,306	1.99	10,248	10,229	1
서울특별시 도봉구 도봉제2동(1132052200)	26,236	11,745	2.23	12,836	13,400	0.96
서울특별시 도봉구 쌍문제1동(1132066000)	21,014	9,410	2.23	10,078	10,936	0.92
서울특별시 도봉구 쌍문제2동(1132067000)	18,374	8,553	2.15	8,750	9,624	0.91
서울특별시 도봉구 쌍문제3동(1132068000)	16,813	8,224	2.04	8,088	8,725	0.93
서울특별시 도봉구 쌍문제4동(1132068100)	18,305	7,087	2.58	8,634	9,671	0.89
서울특별시 도봉구 방학제1동(1132069000)	28,230	12,979	2.18	13,996	14,234	0.98
서울특별시 도봉구 방학제2동(1132070000)	19,217	9,318	2.06	9,707	9,510	1.02
서울특별시 도봉구 방학제3동(1132071000)	26,473	9,921	2.67	12,817	13,656	0.94
서울특별시 노원구 (1135000000)	504,609	217,860	2.32	242,634	261,975	0.93
서울특별시 노원구 월계1동(1135056000)	20,948	10,046	2.09	10,799	10,149	1.06
서울특별시 노원구 월계2동(1135057000)	25,977	11,793	2.2	12,498	13,479	0.93
서울특별시 노원구 월계3동(1135058000)	29,252	12,907	2.27	13,962	15,290	0.91
서울특별시 노원구 공릉1동(1135059500)	36,530	18,552	1.97	17,747	18,783	0.94
서울특별시 노원구 공릉2동(1135060000)	41,850	17,764	2.36	20,415	21,435	0.95
서울특별시 노원구 하계1동(1135061100)	26,650	12,206	2.18	12,769	13,881	0.92
서울특별시 노원구 하계2동(1135061200)	21,603	8,188	2.64	10,248	11,355	0.9
서울특별시 노원구 중계본동(1135061900)	23,465	8,259	2.84	11,412	12,053	0.95
서울특별시 노원구 중계1동(1135062100)	26,473	8,921	2.97	12,907	13,566	0.95
서울특별시 노원구 중계4동(1135062400)	19,526	8,255	2.37	9,371	10,155	0.92
서울특별시 노원구 중계2.3동(1135062500)	33,438	15,121	2.21	15,297	18,141	0.84
서울특별시 노원구 상계1동(1135063000)	37,709	15,664	2.41	18,233	19,476	0.94
서울특별시 노원구 상계2동(1135064000)	19,511	8,574	2.28	9,589	9,922	0.97
서울특별시 노원구 상계3.4동(1135066500)	25,348	11,726	2.16	12,636	12,712	0.99
서울특별시 노원구 상계5동(1135067000)	23,625	10,938	2.16	11,451	12,174	0.94
서울특별시 노원구 상계6.7동(1135069500)	31,939	13,783	2.32	14,756	17,183	0.86
서울특별시 노원구 상계8동(1135070000)	22,355	9,185	2.43	10,669	11,686	0.91
서울특별시 노원구 상계9동(1135071000)	19,994	8,336	2.4	9,372	10,622	0.88
