행정구역,2022년11월_남_총인구수,2022년11월_남_연령구간인구수,2022년11월_남_0세,2022년11월_남_1세,2022년11월_남_2세,2022년11월_남_3세,2022년11월_남_4세,2022년11월_남_5세,2022년11월_남_6세,2022년11월_남_7세,2022년11월_남_8세,2022년11월_남_9세,2022년11월_남_10세,2022년11월_남_11세,2022년11월_남_12세,2022년11월_남_13세,2022년11월_남_14세,2022년11월_남_15세,2022년11월_남_16세,2022년11월_남_17세,2022년11월_남_18세,2022년11월_남_19세,2022년11월_남_20세,2022년11월_남_21세,2022년11월_남_22세,2022년11월_남_23세,2022년11월_남_24세,2022년11월_남_25세,2022년11월_남_26세,2022년11월_남_27세,2022년11월_남_28세,2022년11월_남_29세,2022년11월_남_30세,2022년11월_남_31세,2022년11월_남_32세,2022년11월_남_33세,2022년11월_남_34세,2022년11월_남_35세,2022년11월_남_36세,2022년11월_남_37세,2022년11월_남_38세,2022년11월_남_39세,2022년11월_남_40세,2022년11월_남_41세,2022년11월_남_42세,2022년11월_남_43세,2022년11월_남_44세,2022년11월_남_45세,2022년11월_남_46세,2022년11월_남_47세,2022년11월_남_48세,2022년11월_남_49세,2022년11월_남_50세,2022년11월_남_51세,2022년11월_남_52세,2022년11월_남_53세,2022년11월_남_54세,2022년11월_남_55세,2022년11월_남_56세,2022년11월_남_57세,2022년11월_남_58세,2022년11월_남_59세,2022년11월_남_60세,2022년11월_남_61세,2022년11월_남_62세,2022년11월_남_63세,2022년11월_남_64세,2022년11월_남_65세,2022년11월_남_66세,2022년11월_남_67세,2022년11월_남_68세,2022년11월_남_69세,2022년11월_남_70세,2022년11월_남_71세,2022년11월_남_72세,2022년11월_남_73세,2022년11월_남_74세,2022년11월_남_75세,2022년11월_남_76세,2022년11월_남_77세,2022년11월_남_78세,2022년11월_남_79세,2022년11월_남_80세,2022년11월_남_81세,2022년11월_남_82세,2022년11월_남_83세,2022년11월_남_84세,2022년11월_남_85세,2022년11월_남_86세,2022년11월_남_87세,2022년11월_남_88세,2022년11월_남_89세,2022년11월_남_90세,2022년11월_남_91세,2022년11월_남_92세,2022년11월_남_93세,2022년11월_남_94세,2022년11월_남_95세,2022년11월_남_96세,2022년11월_남_97세,2022년11월_남_98세,2022년11월_남_99세,2022년11월_남_100세 이상,2022년11월_여_총인구수,2022년11월_여_연령구간인구수,2022년11월_여_0세,2022년11월_여_1세,2022년11월_여_2세,2022년11월_여_3세,2022년11월_여_4세,2022년11월_여_5세,2022년11월_여_6세,2022년11월_여_7세,2022년11월_여_8세,2022년11월_여_9세,2022년11월_여_10세,2022년11월_여_11세,2022년11월_여_12세,2022년11월_여_13세,2022년11월_여_14세,2022년11월_여_15세,2022년11월_여_16세,2022년11월_여_17세,2022년11월_여_18세,2022년11월_여_19세,2022년11월_여_20세,2022년11월_여_21세,2022년11월_여_22세,2022년11월_여_23세,2022년11월_여_24세,2022년11월_여_25세,2022년11월_여_26세,2022년11월_여_27세,2022년11월_여_28세,2022년11월_여_29세,2022년11월_여_30세,2022년11월_여_31세,2022년11월_여_32세,2022년11월_여_33세,2022년11월_여_34세,2022년11월_여_35세,2022년11월_여_36세,2022년11월_여_37세,2022년11월_여_38세,2022년11월_여_39세,2022년11월_여_40세,2022년11월_여_41세,2022년11월_여_42세,2022년11월_여_43세,2022년11월_여_44세,2022년11월_여_45세,2022년11월_여_46세,2022년11월_여_47세,2022년11월_여_48세,2022년11월_여_49세,2022년11월_여_50세,2022년11월_여_51세,2022년11월_여_52세,2022년11월_여_53세,2022년11월_여_54세,2022년11월_여_55세,2022년11월_여_56세,2022년11월_여_57세,2022년11월_여_58세,2022년11월_여_59세,2022년11월_여_60세,2022년11월_여_61세,2022년11월_여_62세,2022년11월_여_63세,2022년11월_여_64세,2022년11월_여_65세,2022년11월_여_66세,2022년11월_여_67세,2022년11월_여_68세,2022년11월_여_69세,2022년11월_여_70세,2022년11월_여_71세,2022년11월_여_72세,2022년11월_여_73세,2022년11월_여_74세,2022년11월_여_75세,2022년11월_여_76세,2022년11월_여_77세,2022년11월_여_78세,2022년11월_여_79세,2022년11월_여_80세,2022년11월_여_81세,2022년11월_여_82세,2022년11월_여_83세,2022년11월_여_84세,2022년11월_여_85세,2022년11월_여_86세,2022년11월_여_87세,2022년11월_여_88세,2022년11월_여_89세,2022년11월_여_90세,2022년11월_여_91세,2022년11월_여_92세,2022년11월_여_93세,2022년11월_여_94세,2022년11월_여_95세,2022년11월_여_96세,2022년11월_여_97세,2022년11월_여_98세,2022년11월_여_99세,2022년11월_여_100세 이상
전국  (0000000000),25643889,25643889,124423,136948,142902,158743,172101,188576,213415,228277,225446,227391,251461,245465,243212,231196,242130,253737,231357,226209,246220,254192,259125,294462,331796,322307,333728,346240,361099,370821,377912,377335,380018,360626,338258,328569,321814,316737,325460,332952,342482,383346,417523,423451,428830,411200,374165,388530,383109,398560,436015,442624,448012,475213,459258,462640,455923,417065,416064,417240,397555,403126,429053,447234,443459,397972,369833,364103,325449,328390,279045,238488,260591,185797,198423,197376,191945,186020,142100,127878,127747,124892,143493,109066,91133,86393,71768,60121,50074,42315,32321,23774,18517,12416,9371,7648,5070,3454,1951,1388,1044,930,1256,25806940,25806940,118927,130125,136080,150662,163357,177876,204205,217219,214821,216797,238351,232596,228702,218164,228463,240000,216259,211457,229786,235736,239253,271484,304960,295972,307372,322391,326771,331059,333411,334044,342829,328415,305919,298804,298136,301628,305014,314345,326885,368476,403198,403739,415563,401282,358417,380223,368273,390464,420817,437724,427064,458476,446246,455640,455528,424304,390647,415085,391320,391383,420003,456546,461456,409587,376737,374130,341228,357918,296709,262080,287377,208404,225259,226936,222214,224420,171324,162816,172389,174979,207707,165987,147921,146623,129449,115238,103668,94709,78166,62741,53299,39627,34329,26498,20572,14986,9238,6864,4301,3874,6487
서울특별시  (1100000000),4574781,4574781,20877,22770,22792,25259,26498,28271,32288,34231,33933,34649,38030,37004,37443,35707,38285,40417,37305,36447,40609,42918,43453,49224,58737,59208,63951,69529,75465,79977,83629,83940,84404,80246,74153,70883,68546,65509,65606,65866,65878,71885,75257,76388,75660,72338,64318,67248,66968,68851,75293,76167,78914,83176,79711,79267,75854,68949,67560,68674,66444,67083,69879,71343,72191,66756,62808,61961,56164,58225,49515,43660,47006,32652,36528,36134,35365,35176,27320,24968,24380,23637,27081,20462,16811,15401,12771,10466,8474,7244,5284,4011,3139,2091,1625,1416,956,666,337,267,203,188,278,4862055,4862055,19835,21521,21515,23218,24658,27139,30894,32872,32500,32688,35988,35088,35386,33962,36095,38288,34937,34521,38688,42998,46574,54381,64941,67828,74294,80632,83890,84679,85677,84891,85202,80669,73259,69802,68399,66585,65707,65769,66225,71654,76455,75514,77129,74931,65600,70101,67995,70976,76173,79608,79312,84399,81560,81196,79242,74363,66529,72161,69686,69214,72513,78406,81432,73511,69358,69392,64072,67997,56476,50219,54173,37925,42766,43341,42170,43346,33973,30752,30647,30065,34223,26795,23369,22313,19377,16986,14980,13512,10934,8819,7459,5561,4970,4008,3103,2327,1469,991,710,594,1028
부산광역시  (2600000000),1621486,1621486,7000,7725,8165,8865,10116,11203,12646,13772,13472,13338,14711,14063,13866,12891,13398,13981,12705,12646,13741,14770,14736,17585,20607,20310,20996,21283,22381,22164,22420,22650,22694,21672,20146,19687,19015,18522,19232,19501,20510,22992,25491,26494,27041,25666,23173,23296,22478,24017,25965,26398,27065,28115,27813,27683,27963,25694,25732,25168,24490,25952,28517,29886,30417,27829,26580,27124,24646,25600,22210,18795,20465,15935,15924,15870,15364,14315,11035,9840,10306,10010,10471,8078,6784,6103,4818,4022,3230,2515,1972,1435,1040,756,517,442,284,172,101,59,43,34,71,1698790,1698790,6682,7252,7610,8661,9610,10619,12260,12906,12727,12651,13860,13641,12987,12107,12718,13317,11937,11827,13051,13823,14281,16925,19566,18917,19648,20266,20601,20446,20844,20608,21184,20106,18558,18505,17948,18120,17863,18702,19690,22672,24677,25505,26524,25218,22142,22866,21884,23976,25715,26976,26737,28707,28616,29031,29546,28526,25980,27515,26218,27585,30658,33929,34665,31100,29423,29996,27742,30057,23895,22125,23573,18715,18635,19241,18623,17815,13229,12245,13309,13304,14693,12027,10651,10094,8386,7455,6422,5886,4779,3649,3173,2361,1798,1580,1261,957,516,415,228,211,329
대구광역시  (2700000000),1164024,1164024,5062,5690,6080,7134,7634,8571,9933,10430,10337,10180,11481,11094,11032,10426,11131,11595,10729,10848,11773,12761,12490,14551,16441,15753,15942,16104,16447,16473,16386,16324,16649,15785,15005,14713,13740,13692,14216,14047,14280,16005,17598,18080,18440,17671,16213,17158,17270,17883,19641,19956,20669,21608,21133,21147,21936,20028,19638,19398,18699,18822,20308,20952,20176,18440,16326,16766,15174,14839,12627,11461,12241,9249,9286,9593,9079,8192,5775,5300,5867,6104,6520,4912,4050,3961,3130,2664,2287,1876,1418,1041,854,526,314,260,177,127,63,54,34,23,26,1201595,1201595,4878,5340,5777,6579,7392,8198,9518,9882,9889,9826,10935,10459,10356,9725,10315,11037,9890,9866,10771,11513,11197,13217,14717,13902,13764,14611,14642,14615,14257,14129,14462,13576,12702,12396,11665,12216,12368,12868,13625,15969,18014,18143,18771,18457,16263,17481,17393,18854,20126,21250,21146,22441,22048,22419,22669,21797,19532,20917,19617,19508,21225,22577,22349,20282,17073,17998,16659,17530,14013,13849,14843,11124,11041,11806,11512,10830,7238,7250,8576,8761,9530,7900,6927,6739,5781,5144,4560,4103,3364,2601,2208,1646,1311,985,779,561,317,246,142,113,212
인천광역시  (2800000000),1484103,1484103,7336,8119,8587,9642,10190,11140,12435,13463,13169,13153,14543,14584,14102,13450,13828,14780,13337,12861,13909,14565,14781,16707,18526,18400,19165,20086,21161,21941,22866,23449,23435,22645,20929,20169,19516,19086,19686,20445,20869,23457,25443,26280,26186,25354,22487,23286,22648,23993,25592,25735,26113,27252,26606,26502,26030,24065,23974,25060,24166,24586,25820,26730,26381,23234,21524,20330,17892,17785,14671,12411,13639,8697,10087,9906,9627,9230,7246,6268,6139,5974,6506,4890,4017,3835,3244,2618,2229,1917,1393,1065,797,575,399,345,250,197,110,54,57,68,76,1480717,1480717,7142,7713,8106,9037,9618,10432,12058,12796,12442,12721,13800,13677,13362,12738,13362,14033,12414,12263,13269,13621,13624,15310,17260,17127,17703,19169,19480,20060,20410,20783,21648,20409,19007,18227,18140,18029,18384,18729,19716,22289,24081,24334,24880,23619,21600,22124,21277,22905,24191,25733,25145,26669,26060,27108,27287,25145,23774,25515,24362,23994,25655,26507,26668,23433,21764,20820,18483,19074,15700,13382,14529,9451,10846,11133,10768,11301,8829,7815,7958,8144,9575,7651,6592,6671,6004,5197,4814,4361,3594,3036,2560,2003,1702,1365,1011,778,490,380,239,183,340
광주광역시  (2900000000),707815,707815,3766,4176,4051,4621,5233,5733,6440,6985,6964,7099,7945,7621,7700,7408,7652,8365,7487,7387,8022,8554,8487,9839,10924,10510,10583,10900,10860,10732,10788,10444,10410,9555,8849,8419,8252,8244,8464,8748,9510,10802,11857,11485,11757,11559,10498,11152,11187,11235,12635,12534,12737,13226,12699,12291,12635,11344,11381,10799,10248,10547,10137,10466,10964,9622,8563,8486,7243,7491,6142,5244,5830,4747,4869,4999,4552,4621,3760,3205,3122,2873,3748,2693,2155,2025,1730,1477,1063,961,786,510,412,268,227,198,99,78,42,27,18,12,15,724234,724234,3502,4036,3964,4544,4850,5315,6336,6512,6659,6662,7291,7163,7262,6983,7199,7751,6973,6899,7478,7742,8017,9102,10173,9560,9787,9911,9776,10176,9523,9467,9505,8871,8057,7860,7808,7965,8288,8585,9101,10414,11691,11442,11975,12015,10618,11435,11168,11316,12738,12838,12847,13387,12910,12433,12955,11765,11226,11296,10267,10717,10478,11062,11970,10629,9536,9317,7778,8533,6976,6233,6862,5717,5839,6194,5724,6017,4517,4275,4132,3969,5210,4098,3518,3308,2976,2677,2192,2117,1847,1392,1148,887,920,564,451,319,230,164,83,113,156
대전광역시  (3000000000),721609,721609,3911,4152,4127,4396,4852,5430,6183,6604,6484,6589,7210,7144,7029,6813,7250,7632,7049,6932,7794,7816,7934,9088,10559,10504,10959,11328,11673,11962,11700,11553,11305,10706,10121,9677,9597,9122,9303,9308,9337,10353,11274,11457,11444,11106,10386,10790,10682,11239,12261,12522,12363,13544,12933,13290,12979,11596,10942,11093,10472,10194,11503,12186,11637,10344,9356,9638,8722,8493,7282,6094,6564,4722,5256,4988,4774,4410,3459,3165,3185,2999,3620,2628,2046,2085,1815,1442,1192,989,812,595,498,286,239,165,135,90,44,34,26,12,26,725140,725140,3668,3804,3840,4382,4611,5204,5770,6235,6037,6405,6676,6697,6649,6365,6717,7275,6556,6335,7130,7374,7663,9062,9981,9714,9962,10410,10253,10217,10154,9901,9986,9592,8709,8340,8226,8361,8409,8638,8931,9967,11072,11282,11594,11105,10545,11038,10964,11208,12397,12995,12180,13282,12686,13394,13411,11850,10519,11312,10670,10262,11648,12753,12660,11052,9850,9940,9252,9399,8141,6641,7173,5295,5888,5749,5583,5297,4069,3996,4220,4197,4992,3892,3260,3464,3046,2633,2485,2203,1810,1457,1230,918,800,602,506,345,203,167,104,96,152
울산광역시  (3100000000),570756,570756,2725,3178,3216,3720,4062,4702,5413,5730,5656,5546,6141,5987,5885,5627,5792,6121,5406,5296,5731,5713,5746,6766,7221,6926,7148,7532,8069,7906,8037,8060,8076,7617,7310,7368,7098,6952,7128,7371,7718,8583,9476,9868,10180,9544,8796,9023,8448,8790,9408,9592,9780,10529,10354,10647,10868,10248,10704,10698,9873,9744,10573,10737,10171,9127,8389,7941,7071,6930,5867,5180,5170,4022,3925,3723,3668,3216,2288,2016,1978,2012,2152,1459,1286,1139,862,687,531,472,405,287,208,122,93,85,40,27,16,11,8,9,4,540615,540615,2608,2942,3275,3553,3900,4305,5003,5311,5344,5388,5790,5478,5409,5150,5374,5665,4953,4714,5093,4744,4618,5038,5846,5405,5606,5847,5799,6098,6097,6160,6386,6490,6033,6036,5816,6080,6361,6510,7096,8173,9062,9052,9500,8916,7974,8390,7959,8611,9383,9828,9714,10616,10620,10801,11083,10560,9616,10052,9224,8970,9593,10506,10088,8897,8182,7943,7148,7266,5776,5329,5293,4044,4011,3875,3783,3478,2481,2304,2621,2696,3013,2209,2112,1897,1764,1510,1384,1259,1041,853,693,548,394,345,272,189,118,99,69,51,56
세종특별자치시  (3600000000),190987,190987,1544,1828,1861,2095,2311,2490,2755,2888,2850,2765,3036,2917,2800,2620,2574,2463,2276,1992,1985,1866,1843,1880,1975,1830,1832,1826,1861,2094,2274,2336,2626,2593,2630,2714,2972,2964,3159,3232,3387,3639,4225,4144,4225,4122,3553,3735,3440,3529,3663,3565,3432,3473,3173,2993,2829,2410,2255,2224,2138,2046,2181,2319,2153,1937,1796,1709,1628,1629,1310,1046,1161,820,947,897,788,720,566,493,503,468,571,438,339,350,285,229,234,170,156,113,66,57,52,30,23,17,11,5,3,3,7,191783,191783,1526,1828,1798,2047,2221,2398,2656,2805,2648,2704,2877,2715,2664,2571,2686,2548,2215,2022,2033,1873,1597,1674,1755,1687,1704,1696,1885,2029,2219,2407,2699,2896,2811,2799,2957,3115,3237,3236,3494,3957,4501,4316,4310,4258,3567,3669,3409,3421,3413,3267,2841,3050,2798,2715,2592,2325,2067,2148,2010,1874,2125,2264,2241,1984,1783,1780,1610,1665,1403,1079,1266,848,951,996,822,835,639,618,671,627,784,663,553,589,535,469,465,458,365,314,291,197,172,155,111,77,39,33,16,22,28
경기도  (4100000000),6836309,6836309,38007,40644,42281,47086,50839,55529,62510,66707,65498,65269,72289,70092,69206,65692,68723,70800,64550,61995,67477,70035,70475,79129,89551,86335,90216,94888,98045,101869,104196,104428,106836,101576,94618,92948,91886,91014,93072,96147,98614,110616,120640,122134,123073,117522,106188,110156,108343,111816,120874,122097,123631,129757,124690,124529,120045,108897,108558,110044,104927,104045,108611,111581,109958,96836,90251,84812,75209,74964,62593,53121,57974,37060,41180,41056,40546,40057,31341,28108,27075,26066,29777,23081,19314,18049,15307,12889,10741,8982,7020,5038,4014,2741,2140,1705,1116,711,469,305,258,245,354,6746929,6746929,35850,38906,40800,44746,48613,52196,60049,63597,62743,62705,68860,66984,65612,62621,65395,68064,61127,59118,64063,65263,65042,72704,81309,79486,83233,86339,86793,88460,89670,90532,94077,91517,85634,84716,85452,85960,87380,90790,93191,105387,114742,116484,118088,114041,101316,107760,103761,109035,116937,120187,118398,125899,120923,123861,121054,111248,102021,107717,101473,99063,104390,110801,109536,96310,88797,85451,77247,79504,65545,56895,62381,41262,46955,46682,46353,47827,37878,35267,35939,35752,41326,33722,29745,29272,26158,23376,20942,19178,15554,12600,10715,7981,6987,5552,4370,3139,1954,1495,945,786,1368
